func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario
MASCULINO;25;AMARELA-BRANCA;SUPERIOR_COMPLETO;RN;NAO;DE 20 A 49;Serviços;44;3180,62
MASCULINO;43;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1113,26
MASCULINO;31;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;CE;NAO;DE 20 A 49;Comércio;44;960,62
FEMININO;39;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;36;1236,86
FEMININO;19;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;1000 OU MAIS;Serviços;36;1090,13
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;1100,42
MASCULINO;34;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Serviços;44;2540,13
MASCULINO;33;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Indústria;44;1545
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 500 A 999;Serviços;44;1918,95
FEMININO;35;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Serviços;44;1544,43
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Construçao civil;44;3160,14
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Comércio;44;1030
MASCULINO;63;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Agricultura;44;1608,77
FEMININO;45;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 500 A 999;Comércio;44;7473,5
MASCULINO;31;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1519,29
FEMININO;50;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;ATE 4;Serviços;44;1696,25
MASCULINO;39;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;932,73
MASCULINO;22;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Agricultura;44;1280,79
MASCULINO;37;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Comércio;44;1195,4
MASCULINO;33;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Construçao civil;44;997,99
MASCULINO;26;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;MA;NAO;DE 50 A 99;Serviços;44;931,46
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1730,39
MASCULINO;23;PRETA-PARDA;SUPERIOR_COMPLETO;PI;NAO;DE 10 A 19;Serviços;44;1575,76
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1635,96
MASCULINO;36;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1915,54
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Indústria;44;1090,93
FEMININO;23;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 20 A 49;Agricultura;44;1750,44
FEMININO;43;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;ATE 4;Serviços;44;1643,08
MASCULINO;32;SEM INFO;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Indústria;44;1498,42
MASCULINO;49;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;1000 OU MAIS;Serviços;40;998,02
MASCULINO;38;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Comércio;44;1130,2
FEMININO;27;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Comércio;44;1097,24
MASCULINO;35;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1810,73
FEMININO;43;AMARELA-BRANCA;SUPERIOR_COMPLETO;BA;NAO;DE 500 A 999;Serviços;40;2966,73
MASCULINO;36;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;1069,7
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Indústria;44;1358,38
MASCULINO;49;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;2391,48
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 500 A 999;Serviços;44;1754,39
MASCULINO;72;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;30;19830,67
MASCULINO;20;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 50 A 99;Indústria;44;800,66
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 50 A 99;Serviços;44;1640,74
FEMININO;56;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Indústria;44;2355,01
MASCULINO;19;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;SE;NAO;DE 10 A 19;Serviços;44;1083,46
MASCULINO;37;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;20;1288,19
FEMININO;34;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1464,25
FEMININO;31;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PB;NAO;DE 10 A 19;Serviços;44;1681,52
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;42;1568,96
FEMININO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1089,45
MASCULINO;35;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Indústria;44;1242,55
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Serviços;44;1278,57
FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Indústria;44;1520
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;1000 OU MAIS;Serviços;36;1286,5
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Construçao civil;44;1154,25
FEMININO;28;AMARELA-BRANCA;MEDIO COMPLETO;SE;NAO;DE 50 A 99;Serviços;44;1481,02
FEMININO;43;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Serviços;44;1591,81
MASCULINO;47;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Agricultura;44;998
MASCULINO;39;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 5 A 9;Comércio;44;1297,4
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Serviços;44;1628,67
MASCULINO;34;AMARELA-BRANCA;MEDIO COMPLETO;PI;NAO;ATE 4;Comércio;44;1651,19
FEMININO;36;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;36;2381,09
FEMININO;32;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Serviços;35;1000
MASCULINO;36;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1910,45
MASCULINO;41;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1160
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Serviços;36;1006,07
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 20 A 49;Comércio;44;1135,93
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1876,66
FEMININO;35;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;2038,62
FEMININO;31;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 50 A 99;Serviços;44;1433,5
FEMININO;25;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;997,99
FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;MA;NAO;DE 50 A 99;Comércio;44;4537,57
MASCULINO;39;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1773,04
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1051,95
MASCULINO;48;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;2032,5
MASCULINO;52;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Comércio;44;1430,54
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1842,61
FEMININO;24;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1042,93
MASCULINO;42;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 10 A 19;Comércio;44;2203,03
FEMININO;31;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 500 A 999;Agricultura;44;1053,45
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 20 A 49;Comércio;44;1061,66
FEMININO;32;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1003,58
MASCULINO;51;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;11765,73
FEMININO;24;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Serviços;44;2588,35
FEMININO;32;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Comércio;44;1894,06
MASCULINO;46;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Agricultura;44;1029,6
MASCULINO;20;PRETA-PARDA;SUPERIOR_COMPLETO;AL;NAO;ATE 4;Serviços;7;1559,48
MASCULINO;30;AMARELA-BRANCA;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Serviços;36;1796,23
MASCULINO;24;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 250 A 499;Serviços;25;2326,06
FEMININO;30;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;2;4765,76
MASCULINO;36;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;BA;NAO;DE 20 A 49;Serviços;44;2134,18
MASCULINO;43;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 10 A 19;Indústria;43;1043,68
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 500 A 999;Serviços;40;2301,1
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Construçao civil;44;2237,7
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 250 A 499;Comércio;44;1500,59
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Comércio;44;1760,35
MASCULINO;21;SEM INFO;SUPERIOR_INCOMPLETO;PE;NAO;DE 20 A 49;Serviços;44;2519,71
FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Serviços;36;2149,98
FEMININO;29;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1169,63
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 500 A 999;Serviços;44;1941,26
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 500 A 999;Serviços;0;1938,69
MASCULINO;24;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1596,48
MASCULINO;27;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;MA;NAO;ATE 4;Comércio;44;1061,66
MASCULINO;23;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1385
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;29594,25
MASCULINO;27;SEM INFO;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 500 A 999;Agricultura;44;325,15
MASCULINO;30;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Serviços;4;596,15
FEMININO;20;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Indústria;44;1481,12
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;2014,24
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;858,49
FEMININO;34;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Serviços;44;1175,26
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;1605,08
FEMININO;32;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Serviços;26;2865,21
FEMININO;23;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;AL;NAO;DE 250 A 499;Serviços;36;1906,87
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;ATE 4;Indústria;44;2250
FEMININO;43;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 10 A 19;Serviços;44;1195,97
FEMININO;22;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1089,45
MASCULINO;47;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1500
FEMININO;42;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1930,68
MASCULINO;33;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;ATE 4;Serviços;44;2008,72
MASCULINO;30;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 100 A 249;Serviços;40;2472,12
MASCULINO;59;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;997,99
FEMININO;53;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;1040,26
MASCULINO;34;PRETA-PARDA;SUPERIOR_COMPLETO;SE;NAO;DE 50 A 99;Indústria;44;9000
FEMININO;46;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 250 A 499;Serviços;44;1503,15
MASCULINO;31;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1740,16
MASCULINO;31;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;3015
MASCULINO;36;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;AL;NAO;ATE 4;Serviços;44;2431,78
FEMININO;33;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Indústria;44;1010,13
MASCULINO;18;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Agricultura;44;1294,05
FEMININO;22;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1746,72
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1757,32
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Comércio;0;925,45
FEMININO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;991,2
FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;RN;NAO;DE 100 A 249;Serviços;8;1270,27
MASCULINO;35;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;30;2337,49
MASCULINO;54;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Serviços;44;2538,77
MASCULINO;45;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 250 A 499;Agricultura;44;2663,52
MASCULINO;30;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 50 A 99;Agricultura;44;1621,37
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Indústria;44;2121,37
FEMININO;38;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;ATE 4;Comércio;36;2823,92
MASCULINO;23;AMARELA-BRANCA;MEDIO COMPLETO;SE;NAO;DE 100 A 249;Comércio;44;1050,36
FEMININO;22;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1196,4
FEMININO;35;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;1073,11
FEMININO;32;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;1000 OU MAIS;Serviços;44;1735,36
FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Indústria;44;792
FEMININO;32;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;44;1439,86
MASCULINO;36;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Serviços;40;4987,04
FEMININO;38;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;42;1584,64
FEMININO;31;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;36;1016,18
MASCULINO;60;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;4868,86
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Serviços;44;2600
FEMININO;24;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;ATE 4;Agricultura;44;1374,35
MASCULINO;29;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Comércio;40;5679,39
FEMININO;29;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 10 A 19;Comércio;44;1548,49
MASCULINO;20;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;ATE 4;Comércio;44;2301,78
FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;AL;NAO;DE 50 A 99;Serviços;30;1543,17
MASCULINO;20;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Agricultura;44;1579,98
FEMININO;36;SEM INFO;MEDIO COMPLETO;PE;NAO;1000 OU MAIS;Serviços;25;639,2
FEMININO;61;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;2596,54
MASCULINO;28;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Indústria;44;5637,41
FEMININO;26;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;40;3471,3
